				Presencia/Ausencia en Biomas									
FAMILIA	GÉNERO	ESPECIE	nombre científico (género + especie)	I	II	II-III	III	IV	V	VI	VII	VIII	IX
Podocnemididae	Peltocephalus 	dumerilianus	Peltocephalus dumerilianus	1	1	0	0	0	0	0	0	0	0
Podocnemididae	Erymnochelys	madagascariensis	Erymnochelys madagascariensis	0	1	1	0	0	0	0	0	0	0
Podocnemididae	Podocnemis 	vogli	Podocnemis vogli	0	1	0	0	0	0	0	0	0	0
Podocnemididae	Podocnemis 	expansa	Podocnemis expansa	1	1	0	0	0	0	0	0	0	0
Podocnemididae	Podocnemis 	unifilis	Podocnemis unifilis	1	1	0	0	0	0	0	0	0	0
Podocnemididae	Podocnemis 	erythrocephala	Podocnemis erythrocephala	0	1	0	0	0	0	0	0	0	0
Podocnemididae	Podocnemis 	sextuberculata	Podocnemis sextuberculata	1	1	0	0	0	0	0	0	0	0
Podocnemididae	Podocnemis 	lewyana	Podocnemis lewyana	1	1	0	0	0	0	0	0	0	0
Pelomedusidae	Pelusios	niger	Pelusios niger	1	1	0	0	0	0	0	0	0	0
Pelomedusidae	Pelusios	gabonensis	Pelusios gabonensis	1	1	0	0	0	0	0	0	0	0
Pelomedusidae	Pelusios	sinuatus	Pelusios sinuatus	0	1	0	0	0	0	0	0	0	0
Pelomedusidae	Pelusios	bechuanicus	Pelusios bechuanicus	0	1	0	0	0	0	0	0	0	0
Pelomedusidae	Pelusios	subniger	Pelusios subniger	1	1	0	0	0	0	0	0	0	0
Pelomedusidae	Pelusios	catinatus	Pelusios carinatus	1	0	0	0	0	0	0	0	0	0
Pelomedusidae	Pelusios	rhodesianus	Pelusios rhodesianus	0	1	0	0	0	0	0	0	0	0
Pelomedusidae	Pelusios	castanoides	Pelusios castanoides	1	1	1	0	0	0	0	0	0	0
Pelomedusidae	Pelusios	williamsi	Pelusios williamsi	0	1	0	0	0	0	0	0	0	0
Pelomedusidae	Pelusios	castaneus	Pelusios castaneus	1	1	0	0	0	0	0	0	0	0
Pelomedusidae	Pelusios	chapini	Pelusios chapini	1	1	0	0	0	0	0	0	0	0
Pelomedusidae	Pelusios	broadleyi	Pelusios broadleyi	0	1	0	0	0	0	0	0	0	0
Pelomedusidae	Pelusios	adansonii	Pelusios adansonii	0	1	0	0	0	0	0	0	0	0
Pelomedusidae	Pelusios	cupulatta	Pelusios cupulatta	1	1	0	0	0	0	0	0	0	0
Pelomedusidae	Pelusios	marani	Pelusios marani	0	1	0	0	0	0	0	0	0	0
Pelomedusidae	Pelusios	nanus	Pelusios nanus	0	1	0	0	0	0	0	0	0	0
Pelomedusidae	Pelusios	upembae	Pelusios upembae	0	1	0	0	0	0	0	0	0	0
Pelomedusidae	Pelusios	bottegi	Pelusios bottegi	0	1	1	0	0	0	0	0	0	0
Pelomedusidae	Pelomedusa	subrufa	Pelomedusa subrufa	0	1	1	1	1	1	0	0	0	0
Pelomedusidae	Pelomedusa	barbata	Pelomedusa barbata	0	0	0	1	0	0	0	0	0	0
Pelomedusidae	Pelomedusa	galeata	Pelomedusa galeata	0	0	1	0	1	1	0	0	0	0
Pelomedusidae	Pelomedusa	gehafie	Pelomedusa gehafie	0	1	1	0	0	0	0	0	0	0
Pelomedusidae	Pelomedusa	kobe 	Pelomedusa kobe	0	1	1	0	0	0	0	0	0	0
Pelomedusidae	Pelomedusa	neumanni	Pelomedusa neumanni	0	1	0	0	0	0	0	0	0	0
Pelomedusidae	Pelomedusa	olivacea	Pelomedusa olivacea	0	1	1	0	0	0	0	0	0	0
Pelomedusidae	Pelomedusa	schweinfurthi	Pelomedusa schweinfurthi	0	1	0	0	0	0	0	0	0	0
Pelomedusidae	Pelomedusa	somalica	Pelomedusa somalica	0	1	1	1	0	0	0	0	0	0
Chelidae	Hydromedusa	tectifera	Hydromedusa tectifera	1	0	0	0	0	1	0	0	0	0
Chelidae	Hydromedusa	maximiliani	Hydromedusa maximiliani	1	0	0	0	0	0	0	0	0	0
Chelidae	Chelus	orinocensis	Chelus orinocensis	1	0	0	0	0	0	0	0	0	0
Chelidae	Chelus	fimbriatus	Chelus fimbriatus	1	1	0	0	0	0	0	0	0	0
Chelidae	Platemys	Platycephala	Platemys Platycephala	1	1	0	0	0	0	0	0	0	0
Chelidae	Acanthochelys	pallidipectoris	Acanthochelys pallidipectoris	0	1	0	0	0	0	0	0	0	0
Chelidae	Acanthochelys	radiolata	Acanthochelys radiolata	1	0	0	0	0	0	0	0	0	0
Chelidae	Acanthochelys	spixii	Acanthochelys spixii	0	0	0	0	0	1	0	0	0	0
Chelidae	Acanthochelys	macrocephala	Acanthochelys macrocephala	0	1	0	0	0	0	0	0	0	0
Chelidae	Mesoclemmys	hogei	Mesoclemmys hogei	0	0	1	0	0	0	0	0	0	0
Chelidae	Mesoclemmys	gibbus	Mesoclemmys gibbus	1	0	0	0	0	0	0	0	0	0
Chelidae	Mesoclemmys	nasuta	Mesoclemmys nasuta	1	0	0	0	0	0	0	0	0	0
Chelidae	Mesoclemmys	zuliae	Mesoclemmys zuliae	0	0	1	0	0	0	0	0	0	0
Chelidae	Mesoclemmys	dahli	Mesoclemmys dalhi	0	1	0	0	0	0	0	0	0	0
Chelidae	Mesoclemmys	perplexa	Mesoclemmys perplexa	0	1	0	0	0	0	0	0	0	0
Chelidae	Mesoclemmys	raniceps	Mesoclemmys raniceps	1	0	0	0	0	0	0	0	0	0
